Employee ID,Employee Name,Job Title,Department,Location,Experience (Years),Skills,Certifications,Peer Feedback,Manager Feedback
E0015,Employee 15,Technical Consultant,Support,San Francisco,5,"Project Management, AWS, Cloud Architecture",PMP,Great at applying innovative solutions to problems.,Reliably meets project goals and mentoring responsibilities.
E0016,Employee 16,AI Engineer,Analytics,Toronto,6,"AI, LLM, NLP, Docker",Azure AI Engineer,Consistently exceeds expectations in collaboration.,Needs to work on balancing speed with accuracy.
E0017,Employee 17,AI Engineer,Product,Bangalore,9,"Chatbot, MLflow, Databricks, Deep Learning",AWS Machine Learning Specialty,Great at applying innovative solutions to problems.,Shows technical leadership and delivers timely outcomes.
E0018,Employee 18,AI Engineer,IT,Sydney,11,"ML lifecycle, Azure, Stakeholder Management",,Highly dependable and works well under pressure.,A go-to person for tough challenges and innovation.
E0019,Employee 19,Full Stack Engineer,Data,Toronto,9,"Docker, CI/CD, MongoDB, Python",Google Cloud Engineer,Great at applying innovative solutions to problems.,Could improve on documentation and follow-through.
E0020,Employee 20,Data Analyst,HR,San Francisco,12,"Python, Statistics, Stakeholder Management",Tableau Certified,Excellent at knowledge sharing and team support.,Needs to work on balancing speed with accuracy.
E0021,Employee 21,Data Analyst,Product,New York,4,"Python, Statistics, Stakeholder Management",Tableau Certified,Needs improvement in cross-functional communication.,A go-to person for tough challenges and innovation.
E0022,Employee 22,HR Manager,Engineering,New York,16,"Stakeholder Management, Recruiting, Employee Engagement",SHRM Certified,Highly dependable and works well under pressure.,Needs to work on balancing speed with accuracy.
E0023,Employee 23,ML Engineer,Analytics,London,17,"MLOps, MLflow, Databricks, Deep Learning",AWS Machine Learning Specialty,Great at applying innovative solutions to problems.,Reliably meets project goals and mentoring responsibilities.
E0024,Employee 24,HR Manager,IT,Berlin,12,"Stakeholder Management, Recruiting, Employee Engagement",,Consistently exceeds expectations in collaboration.,Needs to work on balancing speed with accuracy.
E0025,Employee 25,Tester,HR,New York,11,"Selenium, Manual Testing, Test Automation",ISTQB,Highly dependable and works well under pressure.,Needs to work on balancing speed with accuracy.
E0026,Employee 26,Data Analyst,Data,New York,2,"Excel, SQL, Power BI, Data Visualization",Tableau Certified,Excellent at knowledge sharing and team support.,Shows technical leadership and delivers timely outcomes.
E0027,Employee 27,Data Scientist,HR,London,16,"Python, Deep Learning, AI, MLflow, ML lifecycle",Azure AI Engineer,Excellent at knowledge sharing and team support.,Needs to work on balancing speed with accuracy.
E0028,Employee 28,ML Engineer,Product,Sydney,14,"Python, ML lifecycle, Airflow, Docker, Azure",,Excellent at knowledge sharing and team support.,Shows technical leadership and delivers timely outcomes.
E0029,Employee 29,AI Engineer,Support,Berlin,14,"Chatbot, MLflow, Databricks, Deep Learning",,Consistently exceeds expectations in collaboration.,Shows technical leadership and delivers timely outcomes.
E0030,Employee 30,AI Engineer,Support,Sydney,4,"Chatbot, MLflow, Databricks, Deep Learning",Azure AI Engineer,Excellent at knowledge sharing and team support.,Could improve on documentation and follow-through.
E0031,Employee 31,HR Manager,Analytics,Berlin,6,"Conflict Resolution, Communication, Onboarding",,Needs improvement in cross-functional communication.,Reliably meets project goals and mentoring responsibilities.
E0032,Employee 32,HR Manager,Engineering,New York,18,"Conflict Resolution, Communication, Onboarding",SHRM Certified,Highly dependable and works well under pressure.,Shows technical leadership and delivers timely outcomes.
E0033,Employee 33,HR Manager,Product,Berlin,7,"Conflict Resolution, Communication, Onboarding",SHRM Certified,Consistently exceeds expectations in collaboration.,Shows technical leadership and delivers timely outcomes.
E0034,Employee 34,ML Engineer,Consulting,London,15,"Python, ML lifecycle, Airflow, Docker, Azure",,Needs improvement in cross-functional communication.,Reliably meets project goals and mentoring responsibilities.
E0035,Employee 35,Data Analyst,Analytics,San Francisco,10,"Python, Statistics, Stakeholder Management",,Excellent at knowledge sharing and team support.,Shows technical leadership and delivers timely outcomes.
E0036,Employee 36,Technical Consultant,Support,New York,2,"Client Management, Technical Design, Solutioning",,Great at applying innovative solutions to problems.,Reliably meets project goals and mentoring responsibilities.
E0037,Employee 37,Data Analyst,Data,Bangalore,3,"Excel, SQL, Power BI, Data Visualization",,Excellent at knowledge sharing and team support.,Shows technical leadership and delivers timely outcomes.
E0038,Employee 38,Technical Consultant,Consulting,New York,19,"Client Management, Technical Design, Solutioning",AWS Architect,Excellent at knowledge sharing and team support.,Needs to work on balancing speed with accuracy.
E0039,Employee 39,Technical Consultant,Consulting,Toronto,19,"Client Management, Technical Design, Solutioning",AWS Architect,Great at applying innovative solutions to problems.,Needs to work on balancing speed with accuracy.
E0040,Employee 40,Developer,Support,San Francisco,9,"Java, Spring Boot, REST APIs",Microsoft Azure Developer,Consistently exceeds expectations in collaboration.,Could improve on documentation and follow-through.
E0041,Employee 41,IT Support,Engineering,New York,15,"Active Directory, Scripting, Helpdesk",Microsoft Certified,Great at applying innovative solutions to problems.,Needs to work on balancing speed with accuracy.
E0042,Employee 42,AI Engineer,HR,Bangalore,9,"ML lifecycle, Azure, Stakeholder Management",Azure AI Engineer,Excellent at knowledge sharing and team support.,A go-to person for tough challenges and innovation.
E0043,Employee 43,AI Engineer,IT,San Francisco,15,"Chatbot, MLflow, Databricks, Deep Learning",Azure AI Engineer,Great at applying innovative solutions to problems.,A go-to person for tough challenges and innovation.
E0044,Employee 44,Technical Consultant,IT,Toronto,4,"Client Management, Technical Design, Solutioning",,Excellent at knowledge sharing and team support.,A go-to person for tough challenges and innovation.
E0045,Employee 45,AI Engineer,Analytics,London,10,"ML lifecycle, Azure, Stakeholder Management",Azure AI Engineer,Great at applying innovative solutions to problems.,Could improve on documentation and follow-through.
E0046,Employee 46,Developer,IT,Bangalore,16,"Full Stack, React, Node.js",Oracle Java,Needs improvement in cross-functional communication.,Shows technical leadership and delivers timely outcomes.
E0047,Employee 47,AI Engineer,IT,New York,1,"Chatbot, MLflow, Databricks, Deep Learning",,Needs improvement in cross-functional communication.,Could improve on documentation and follow-through.
E0048,Employee 48,IT Support,Consulting,Bangalore,1,"Active Directory, Scripting, Helpdesk",CompTIA A+,Highly dependable and works well under pressure.,Shows technical leadership and delivers timely outcomes.
E0049,Employee 49,ML Engineer,Analytics,Berlin,5,"MLOps, MLflow, Databricks, Deep Learning",AWS Machine Learning Specialty,Highly dependable and works well under pressure.,A go-to person for tough challenges and innovation.
E0050,Employee 50,Developer,HR,Toronto,8,"Python, Docker, CI/CD",Oracle Java,Highly dependable and works well under pressure.,A go-to person for tough challenges and innovation.
E0051,Employee 51,Data Analyst,HR,Sydney,6,"Excel, SQL, Power BI, Data Visualization",Google Data Analytics,Excellent at knowledge sharing and team support.,Reliably meets project goals and mentoring responsibilities.
E0052,Employee 52,Data Scientist,Consulting,Sydney,8,"Data Visualization, Stakeholder Management, SQL, Azure",Azure Data Scientist,Needs improvement in cross-functional communication.,Could improve on documentation and follow-through.
E0053,Employee 53,AI Engineer,Product,San Francisco,7,"AI, LLM, NLP, Docker",AWS Machine Learning Specialty,Consistently exceeds expectations in collaboration.,A go-to person for tough challenges and innovation.
E0054,Employee 54,IT Support,Data,Toronto,7,"Troubleshooting, Networking, Customer Support",CompTIA A+,Consistently exceeds expectations in collaboration.,A go-to person for tough challenges and innovation.
E0055,Employee 55,IT Support,Support,Toronto,17,"Active Directory, Scripting, Helpdesk",CompTIA A+,Consistently exceeds expectations in collaboration.,Needs to work on balancing speed with accuracy.
E0056,Employee 56,Developer,IT,San Francisco,19,"Java, Spring Boot, REST APIs",Oracle Java,Needs improvement in cross-functional communication.,Shows technical leadership and delivers timely outcomes.
E0057,Employee 57,AI Engineer,Support,Toronto,11,"Chatbot, MLflow, Databricks, Deep Learning",,Consistently exceeds expectations in collaboration.,Needs to work on balancing speed with accuracy.
E0058,Employee 58,Data Analyst,HR,London,2,"Python, Statistics, Stakeholder Management",Tableau Certified,Consistently exceeds expectations in collaboration.,Shows technical leadership and delivers timely outcomes.
E0059,Employee 59,Data Analyst,Support,Berlin,3,"Excel, SQL, Power BI, Data Visualization",,Needs improvement in cross-functional communication.,Needs to work on balancing speed with accuracy.
E0060,Employee 60,Developer,IT,Bangalore,10,"Java, Spring Boot, REST APIs",,Consistently exceeds expectations in collaboration.,A go-to person for tough challenges and innovation.
E0061,Employee 61,Full Stack Engineer,HR,Berlin,13,"JavaScript, React, Node.js, SQL",,Excellent at knowledge sharing and team support.,Needs to work on balancing speed with accuracy.
E0062,Employee 62,Technical Consultant,Data,London,10,"Project Management, AWS, Cloud Architecture",PMP,Excellent at knowledge sharing and team support.,Reliably meets project goals and mentoring responsibilities.
E0063,Employee 63,Technical Consultant,Product,Berlin,15,"Project Management, AWS, Cloud Architecture",,Excellent at knowledge sharing and team support.,Needs to work on balancing speed with accuracy.
E0064,Employee 64,Tester,Engineering,London,17,"Selenium, Manual Testing, Test Automation",,Great at applying innovative solutions to problems.,A go-to person for tough challenges and innovation.
E0065,Employee 65,AI Engineer,IT,San Francisco,7,"ML lifecycle, Azure, Stakeholder Management",Azure AI Engineer,Excellent at knowledge sharing and team support.,Shows technical leadership and delivers timely outcomes.
E0066,Employee 66,Data Scientist,Engineering,Berlin,14,"Machine Learning, LLM, Databricks",Azure Data Scientist,Great at applying innovative solutions to problems.,Could improve on documentation and follow-through.
E0067,Employee 67,Full Stack Engineer,HR,San Francisco,1,"Docker, CI/CD, MongoDB, Python",,Highly dependable and works well under pressure.,Reliably meets project goals and mentoring responsibilities.
E0068,Employee 68,HR Manager,Data,Bangalore,8,"Conflict Resolution, Communication, Onboarding",SHRM Certified,Highly dependable and works well under pressure.,Reliably meets project goals and mentoring responsibilities.
E0069,Employee 69,ML Engineer,Product,Bangalore,17,"MLOps, MLflow, Databricks, Deep Learning",,Consistently exceeds expectations in collaboration.,Needs to work on balancing speed with accuracy.
E0070,Employee 70,Tester,Product,London,8,"Bug Tracking, JIRA, Regression Testing",ISTQB,Needs improvement in cross-functional communication.,Needs to work on balancing speed with accuracy.
E0071,Employee 71,Tester,IT,Berlin,3,"Selenium, Manual Testing, Test Automation",,Needs improvement in cross-functional communication.,Could improve on documentation and follow-through.
E0072,Employee 72,IT Support,Engineering,San Francisco,5,"Active Directory, Scripting, Helpdesk",Microsoft Certified,Excellent at knowledge sharing and team support.,Reliably meets project goals and mentoring responsibilities.
E0073,Employee 73,ML Engineer,Consulting,Berlin,11,"Python, ML lifecycle, Airflow, Docker, Azure",AWS Machine Learning Specialty,Great at applying innovative solutions to problems.,Reliably meets project goals and mentoring responsibilities.
E0074,Employee 74,Full Stack Engineer,Consulting,Berlin,19,"JavaScript, React, Node.js, SQL",Google Cloud Engineer,Highly dependable and works well under pressure.,Needs to work on balancing speed with accuracy.
E0075,Employee 75,Full Stack Engineer,Support,London,13,"JavaScript, React, Node.js, SQL",,Consistently exceeds expectations in collaboration.,Needs to work on balancing speed with accuracy.
E0076,Employee 76,Data Analyst,Product,San Francisco,9,"Excel, SQL, Power BI, Data Visualization",,Consistently exceeds expectations in collaboration.,Reliably meets project goals and mentoring responsibilities.
E0077,Employee 77,Data Scientist,Consulting,Toronto,6,"Data Visualization, Stakeholder Management, SQL, Azure",,Consistently exceeds expectations in collaboration.,Could improve on documentation and follow-through.
E0078,Employee 78,Technical Consultant,Consulting,Bangalore,19,"Client Management, Technical Design, Solutioning",,Highly dependable and works well under pressure.,Shows technical leadership and delivers timely outcomes.
E0079,Employee 79,Full Stack Engineer,Analytics,New York,9,"Docker, CI/CD, MongoDB, Python",Google Cloud Engineer,Consistently exceeds expectations in collaboration.,A go-to person for tough challenges and innovation.
E0080,Employee 80,HR Manager,Support,Sydney,13,"Conflict Resolution, Communication, Onboarding",HR Analytics,Needs improvement in cross-functional communication.,Reliably meets project goals and mentoring responsibilities.
E0081,Employee 81,IT Support,Data,Toronto,18,"Active Directory, Scripting, Helpdesk",CompTIA A+,Highly dependable and works well under pressure.,A go-to person for tough challenges and innovation.
E0082,Employee 82,HR Manager,Data,Sydney,1,"Stakeholder Management, Recruiting, Employee Engagement",,Excellent at knowledge sharing and team support.,Could improve on documentation and follow-through.
E0083,Employee 83,Data Scientist,Analytics,Berlin,4,"Python, NLP, Chatbot, Airflow, Docker",Azure Data Scientist,Great at applying innovative solutions to problems.,Could improve on documentation and follow-through.
E0084,Employee 84,Tester,Support,San Francisco,20,"Bug Tracking, JIRA, Regression Testing",,Great at applying innovative solutions to problems.,Shows technical leadership and delivers timely outcomes.
E0085,Employee 85,ML Engineer,Data,London,19,"Python, ML lifecycle, Airflow, Docker, Azure",,Consistently exceeds expectations in collaboration.,Reliably meets project goals and mentoring responsibilities.
E0086,Employee 86,HR Manager,Engineering,Toronto,10,"Stakeholder Management, Recruiting, Employee Engagement",SHRM Certified,Great at applying innovative solutions to problems.,Shows technical leadership and delivers timely outcomes.
E0087,Employee 87,Technical Consultant,Consulting,Toronto,12,"Project Management, AWS, Cloud Architecture",AWS Architect,Highly dependable and works well under pressure.,Needs to work on balancing speed with accuracy.
E0088,Employee 88,Developer,Product,New York,14,"Python, Docker, CI/CD",Oracle Java,Needs improvement in cross-functional communication.,Reliably meets project goals and mentoring responsibilities.
E0089,Employee 89,ML Engineer,IT,Bangalore,18,"Python, ML lifecycle, Airflow, Docker, Azure",,Consistently exceeds expectations in collaboration.,Reliably meets project goals and mentoring responsibilities.
E0090,Employee 90,Full Stack Engineer,HR,Sydney,3,"Docker, CI/CD, MongoDB, Python",,Needs improvement in cross-functional communication.,Reliably meets project goals and mentoring responsibilities.
E0091,Employee 91,HR Manager,Support,New York,16,"Conflict Resolution, Communication, Onboarding",HR Analytics,Needs improvement in cross-functional communication.,Could improve on documentation and follow-through.
E0092,Employee 92,Tester,IT,London,9,"Bug Tracking, JIRA, Regression Testing",ISTQB,Great at applying innovative solutions to problems.,A go-to person for tough challenges and innovation.
E0093,Employee 93,Data Analyst,Engineering,San Francisco,14,"Excel, SQL, Power BI, Data Visualization",Tableau Certified,Consistently exceeds expectations in collaboration.,Needs to work on balancing speed with accuracy.
E0094,Employee 94,HR Manager,Product,Berlin,1,"Conflict Resolution, Communication, Onboarding",,Highly dependable and works well under pressure.,A go-to person for tough challenges and innovation.
E0095,Employee 95,HR Manager,IT,Toronto,19,"Stakeholder Management, Recruiting, Employee Engagement",HR Analytics,Needs improvement in cross-functional communication.,Reliably meets project goals and mentoring responsibilities.
E0096,Employee 96,Data Analyst,Consulting,Toronto,18,"Python, Statistics, Stakeholder Management",,Needs improvement in cross-functional communication.,A go-to person for tough challenges and innovation.
E0097,Employee 97,Tester,IT,San Francisco,4,"Bug Tracking, JIRA, Regression Testing",Certified QA,Excellent at knowledge sharing and team support.,A go-to person for tough challenges and innovation.
E0098,Employee 98,AI Engineer,Analytics,San Francisco,7,"ML lifecycle, Azure, Stakeholder Management",,Consistently exceeds expectations in collaboration.,A go-to person for tough challenges and innovation.
E0099,Employee 99,Technical Consultant,Engineering,Sydney,7,"Project Management, AWS, Cloud Architecture",,Needs improvement in cross-functional communication.,Could improve on documentation and follow-through.
E0100,Employee 100,Developer,Data,Toronto,18,"Python, Docker, CI/CD",Oracle Java,Excellent at knowledge sharing and team support.,A go-to person for tough challenges and innovation.
E0101,Employee 101,Data Scientist,Analytics,Toronto,16,"Data Visualization, Stakeholder Management, SQL, Azure",AWS Machine Learning Specialty,Highly dependable and works well under pressure.,Shows technical leadership and delivers timely outcomes.
E0102,Employee 102,Technical Consultant,Product,Berlin,11,"Project Management, AWS, Cloud Architecture",PMP,Excellent at knowledge sharing and team support.,Shows technical leadership and delivers timely outcomes.
E0103,Employee 103,IT Support,Engineering,Berlin,16,"Troubleshooting, Networking, Customer Support",Microsoft Certified,Highly dependable and works well under pressure.,Needs to work on balancing speed with accuracy.
E0104,Employee 104,Data Scientist,IT,New York,8,"Python, NLP, Chatbot, Airflow, Docker",Azure Data Scientist,Highly dependable and works well under pressure.,Needs to work on balancing speed with accuracy.
E0105,Employee 105,Full Stack Engineer,Product,Berlin,10,"Docker, CI/CD, MongoDB, Python",Google Cloud Engineer,Great at applying innovative solutions to problems.,Reliably meets project goals and mentoring responsibilities.
E0106,Employee 106,IT Support,Engineering,Sydney,7,"Troubleshooting, Networking, Customer Support",,Excellent at knowledge sharing and team support.,A go-to person for tough challenges and innovation.
E0107,Employee 107,AI Engineer,Analytics,Bangalore,3,"AI, LLM, NLP, Docker",Azure AI Engineer,Excellent at knowledge sharing and team support.,Shows technical leadership and delivers timely outcomes.
E0108,Employee 108,Full Stack Engineer,IT,New York,8,"Docker, CI/CD, MongoDB, Python",,Needs improvement in cross-functional communication.,A go-to person for tough challenges and innovation.
E0109,Employee 109,Tester,IT,Sydney,19,"Selenium, Manual Testing, Test Automation",ISTQB,Excellent at knowledge sharing and team support.,Reliably meets project goals and mentoring responsibilities.
E0110,Employee 110,AI Engineer,Analytics,London,5,"AI, LLM, NLP, Docker",,Highly dependable and works well under pressure.,Shows technical leadership and delivers timely outcomes.
E0111,Employee 111,ML Engineer,Product,New York,15,"MLOps, MLflow, Databricks, Deep Learning",,Needs improvement in cross-functional communication.,Reliably meets project goals and mentoring responsibilities.
E0112,Employee 112,IT Support,Product,New York,20,"Active Directory, Scripting, Helpdesk",,Highly dependable and works well under pressure.,Reliably meets project goals and mentoring responsibilities.
E0113,Employee 113,Developer,Data,New York,8,"Python, Docker, CI/CD",,Great at applying innovative solutions to problems.,Needs to work on balancing speed with accuracy.
E0114,Employee 114,Data Scientist,Analytics,Berlin,17,"Python, Deep Learning, AI, MLflow, ML lifecycle",Azure AI Engineer,Consistently exceeds expectations in collaboration.,A go-to person for tough challenges and innovation.
E0115,Employee 115,ML Engineer,Engineering,Berlin,12,"MLOps, MLflow, Databricks, Deep Learning",,Consistently exceeds expectations in collaboration.,A go-to person for tough challenges and innovation.
E0116,Employee 116,Developer,Analytics,London,14,"Java, Spring Boot, REST APIs",,Consistently exceeds expectations in collaboration.,A go-to person for tough challenges and innovation.
E0117,Employee 117,Full Stack Engineer,Engineering,London,9,"Docker, CI/CD, MongoDB, Python",Google Cloud Engineer,Needs improvement in cross-functional communication.,Shows technical leadership and delivers timely outcomes.
E0118,Employee 118,Full Stack Engineer,Consulting,New York,7,"Docker, CI/CD, MongoDB, Python",Google Cloud Engineer,Great at applying innovative solutions to problems.,A go-to person for tough challenges and innovation.
E0119,Employee 119,Technical Consultant,Data,San Francisco,9,"Project Management, AWS, Cloud Architecture",PMP,Great at applying innovative solutions to problems.,Could improve on documentation and follow-through.
E0120,Employee 120,IT Support,Engineering,New York,20,"Active Directory, Scripting, Helpdesk",Microsoft Certified,Excellent at knowledge sharing and team support.,Could improve on documentation and follow-through.
E0121,Employee 121,IT Support,Consulting,New York,8,"Troubleshooting, Networking, Customer Support",,Highly dependable and works well under pressure.,Reliably meets project goals and mentoring responsibilities.
E0122,Employee 122,AI Engineer,Product,Toronto,10,"AI, LLM, NLP, Docker",,Great at applying innovative solutions to problems.,A go-to person for tough challenges and innovation.
E0123,Employee 123,Full Stack Engineer,HR,Berlin,18,"Docker, CI/CD, MongoDB, Python",,Excellent at knowledge sharing and team support.,Reliably meets project goals and mentoring responsibilities.
E0124,Employee 124,HR Manager,Engineering,London,14,"Stakeholder Management, Recruiting, Employee Engagement",,Needs improvement in cross-functional communication.,Needs to work on balancing speed with accuracy.
E0125,Employee 125,IT Support,IT,Sydney,19,"Active Directory, Scripting, Helpdesk",CompTIA A+,Great at applying innovative solutions to problems.,Reliably meets project goals and mentoring responsibilities.
E0126,Employee 126,ML Engineer,Support,London,18,"MLOps, MLflow, Databricks, Deep Learning",,Great at applying innovative solutions to problems.,Reliably meets project goals and mentoring responsibilities.
E0127,Employee 127,Tester,HR,Bangalore,13,"Selenium, Manual Testing, Test Automation",Certified QA,Excellent at knowledge sharing and team support.,Reliably meets project goals and mentoring responsibilities.
E0128,Employee 128,Data Scientist,Consulting,Berlin,5,"Machine Learning, LLM, Databricks",Azure AI Engineer,Consistently exceeds expectations in collaboration.,Shows technical leadership and delivers timely outcomes.
E0129,Employee 129,ML Engineer,Product,New York,17,"Python, ML lifecycle, Airflow, Docker, Azure",,Consistently exceeds expectations in collaboration.,Shows technical leadership and delivers timely outcomes.
E0130,Employee 130,ML Engineer,Engineering,Berlin,9,"Python, ML lifecycle, Airflow, Docker, Azure",,Needs improvement in cross-functional communication.,Needs to work on balancing speed with accuracy.
E0131,Employee 131,Full Stack Engineer,Consulting,London,16,"Docker, CI/CD, MongoDB, Python",Google Cloud Engineer,Great at applying innovative solutions to problems.,Shows technical leadership and delivers timely outcomes.
E0132,Employee 132,Technical Consultant,IT,San Francisco,3,"Client Management, Technical Design, Solutioning",AWS Architect,Consistently exceeds expectations in collaboration.,Shows technical leadership and delivers timely outcomes.
E0133,Employee 133,AI Engineer,IT,New York,2,"AI, LLM, NLP, Docker",AWS Machine Learning Specialty,Needs improvement in cross-functional communication.,Shows technical leadership and delivers timely outcomes.
E0134,Employee 134,IT Support,Consulting,San Francisco,8,"Active Directory, Scripting, Helpdesk",Microsoft Certified,Great at applying innovative solutions to problems.,Reliably meets project goals and mentoring responsibilities.
E0135,Employee 135,Technical Consultant,Analytics,San Francisco,3,"Client Management, Technical Design, Solutioning",,Great at applying innovative solutions to problems.,Reliably meets project goals and mentoring responsibilities.
E0136,Employee 136,Technical Consultant,Product,Bangalore,5,"Client Management, Technical Design, Solutioning",,Excellent at knowledge sharing and team support.,Reliably meets project goals and mentoring responsibilities.
E0137,Employee 137,IT Support,Data,Sydney,15,"Active Directory, Scripting, Helpdesk",Microsoft Certified,Needs improvement in cross-functional communication.,Needs to work on balancing speed with accuracy.
E0138,Employee 138,ML Engineer,Support,Bangalore,10,"MLOps, MLflow, Databricks, Deep Learning",AWS Machine Learning Specialty,Consistently exceeds expectations in collaboration.,A go-to person for tough challenges and innovation.
E0139,Employee 139,Tester,Consulting,Sydney,16,"Selenium, Manual Testing, Test Automation",Certified QA,Highly dependable and works well under pressure.,Could improve on documentation and follow-through.
E0140,Employee 140,Full Stack Engineer,IT,New York,13,"Docker, CI/CD, MongoDB, Python",,Needs improvement in cross-functional communication.,Shows technical leadership and delivers timely outcomes.
E0141,Employee 141,Technical Consultant,Product,Sydney,10,"Client Management, Technical Design, Solutioning",,Excellent at knowledge sharing and team support.,Needs to work on balancing speed with accuracy.
E0142,Employee 142,Developer,HR,Bangalore,9,"Full Stack, React, Node.js",Oracle Java,Excellent at knowledge sharing and team support.,Shows technical leadership and delivers timely outcomes.
E0143,Employee 143,Data Scientist,Data,Bangalore,12,"Machine Learning, LLM, Databricks",Azure AI Engineer,Excellent at knowledge sharing and team support.,Shows technical leadership and delivers timely outcomes.
E0144,Employee 144,IT Support,Analytics,San Francisco,5,"Active Directory, Scripting, Helpdesk",Microsoft Certified,Great at applying innovative solutions to problems.,A go-to person for tough challenges and innovation.
E0145,Employee 145,Data Analyst,Analytics,London,16,"Python, Statistics, Stakeholder Management",,Needs improvement in cross-functional communication.,A go-to person for tough challenges and innovation.
E0146,Employee 146,AI Engineer,Analytics,Sydney,8,"AI, LLM, NLP, Docker",AWS Machine Learning Specialty,Consistently exceeds expectations in collaboration.,Needs to work on balancing speed with accuracy.
E0147,Employee 147,Developer,Data,London,18,"Python, Docker, CI/CD",Oracle Java,Highly dependable and works well under pressure.,Reliably meets project goals and mentoring responsibilities.
E0148,Employee 148,Developer,IT,Bangalore,13,"Full Stack, React, Node.js",,Needs improvement in cross-functional communication.,Shows technical leadership and delivers timely outcomes.
E0149,Employee 149,HR Manager,Support,Bangalore,8,"Stakeholder Management, Recruiting, Employee Engagement",HR Analytics,Highly dependable and works well under pressure.,Reliably meets project goals and mentoring responsibilities.
E0150,Employee 150,IT Support,Engineering,San Francisco,2,"Active Directory, Scripting, Helpdesk",,Highly dependable and works well under pressure.,A go-to person for tough challenges and innovation.
E0151,Employee 151,Tester,HR,Bangalore,5,"Selenium, Manual Testing, Test Automation",ISTQB,Consistently exceeds expectations in collaboration.,Reliably meets project goals and mentoring responsibilities.
E0152,Employee 152,Developer,Consulting,Bangalore,5,"Full Stack, React, Node.js",,Consistently exceeds expectations in collaboration.,Shows technical leadership and delivers timely outcomes.
E0153,Employee 153,Tester,IT,New York,12,"Bug Tracking, JIRA, Regression Testing",,Excellent at knowledge sharing and team support.,Reliably meets project goals and mentoring responsibilities.
E0154,Employee 154,Tester,Engineering,Toronto,12,"Bug Tracking, JIRA, Regression Testing",ISTQB,Great at applying innovative solutions to problems.,A go-to person for tough challenges and innovation.
E0155,Employee 155,Data Scientist,HR,New York,15,"Data Visualization, Stakeholder Management, SQL, Azure",,Highly dependable and works well under pressure.,Could improve on documentation and follow-through.
E0156,Employee 156,Technical Consultant,Support,San Francisco,5,"Client Management, Technical Design, Solutioning",AWS Architect,Great at applying innovative solutions to problems.,Could improve on documentation and follow-through.
E0157,Employee 157,AI Engineer,HR,Sydney,8,"AI, LLM, NLP, Docker",,Needs improvement in cross-functional communication.,Could improve on documentation and follow-through.
E0158,Employee 158,Technical Consultant,Analytics,San Francisco,18,"Project Management, AWS, Cloud Architecture",AWS Architect,Needs improvement in cross-functional communication.,Could improve on documentation and follow-through.
E0159,Employee 159,AI Engineer,Analytics,New York,12,"AI, LLM, NLP, Docker",,Excellent at knowledge sharing and team support.,Needs to work on balancing speed with accuracy.
